Bairro,Area,Valor,Dormitorios,Vagas
Cavalhada,58,245000,2,1
Cavalhada,66,268000,2,1
Cavalhada,82,326900,3,1
Cavalhada,71.48,389000,2,1
Cavalhada,71.48,305000,3,1
Cavalhada,45.88,265000,2,1
Cavalhada,70.6,235000,3,1
Cavalhada,70,250000,3,2
Cavalhada,61.17,330000,3,1
Cavalhada,55.41,256000,2,1
Cavalhada,48.08,165000,1,0
Centro,29,220000,1,0
Centro,62.3,350000,2,0
Centro,114,450000,2,0
Centro,64.26,335000,2,1
Centro,47.21,298000,1,0
Centro,65,290000,2,0
Centro,73,280000,3,0
Centro,54.12,340000,1,1
Centro,62.96,297000,2,0
Centro,82,580000,2,1
Centro,45.44,240000,2,0
Centro,65.05,395000,2,0
Centro,65.05,395000,2,0
Centro,54.11,250000,2,0
Centro,32.5,190000,1,0
Centro,41.65,235000,1,0
Centro,25,165000,1,0
Centro,52,265000,2,0
Centro,77,320000,2,0
Centro,41.74,212000,1,0
Centro,101.82,393000,3,1
Centro,90,350000,2,0
Centro,39.22,230000,1,0
Centro,29.35,133000,1,0
Centro,89,360000,3,0
Centro,42.22,235000,1,0
Centro,120.26,530000,4,2
Centro,94.58,4e+05,3,0
Centro,70,280000,2,0
Centro,41.92,250000,1,0
Centro,141.34,320000,3,0
Centro,78,295000,2,0
Centro,153.65,5e+05,3,0
Centro,47.21,286000,1,0
Centro,64.53,190000,2,0
Centro,36.6,188000,1,0
Centro,60,520000,2,0
Centro,89.56,308000,2,0
Centro,44,169000,1,0
Centro,89,390000,2,0
Centro,83,250000,2,0
Centro,60.9,298000,2,0
Centro,93.59,350000,3,0
Centro,69,280000,2,0
Centro,57.81,270000,2,0
Centro,27.9,159000,0,0
Centro,40.1,250000,1,0
Centro,30.65,212500,1,0
Centro,30.37,206600,0,0
Centro,144,360000,3,0
Centro,30.37,187000,1,0
Centro,29.83,197000,1,0
Centro,68.75,295000,2,0
Centro,157.54,4e+05,4,0
Centro,136.14,475000,4,0
Centro,63.13,250000,3,0
Centro,71.7,250000,2,0
Centro,53.76,186200,1,0
Centro,45.84,210000,1,0
Centro,40.17,250000,1,0
Centro,58.68,375000,2,0
Centro,45.2,203000,1,0
Centro,47.11,230000,0,0
Centro,49.75,290000,1,1
Centro,83.58,290000,3,0
Centro,40.16,212000,1,0
Centro,101.22,370000,3,0
Centro,78.23,330000,3,0
Centro,60,243000,2,0
Centro,92.02,330000,3,0
Centro,43.41,190000,1,0
Centro,46,166000,1,0
Centro,69.44,318000,2,0
Centro,24.9,170000,1,0
Centro,25.86,142000,1,0
Centro,98,480000,2,0
Centro,72.8,350000,2,0
Centro,55.5,270000,2,0
Centro,39.56,215000,1,0
Centro,38.75,258000,1,0
Centro,23.08,150000,1,0
Centro,56.15,280000,2,1
Centro,112,530000,3,1
Centro,42.5,232000,1,0
Centro,58.05,287000,2,0
Centro,44,205000,1,0
Centro,42,180000,1,0
Centro,109,550000,3,1
